"chromosome","gene_name","start","end"
"1","ANKRD36BP1",168245565,168247343
"1","ANKRD45",173608336,173669851
"1","ANKRD65",1418420,1421769
"1","ANKRD65-AS1",1420245,1422691
"1","ANO7L1",16216469,16228027
"1","ANP32E",150218417,150236156
"1","ANXA9",150982249,150995634
"1","AP4B1",113894194,113905201
"1","AP4B1-AS1",113856635,113901237
"1","APCS",159587826,159588865
"1","APH1A",150265399,150269580
"1","APOA2",161222292,161223631
"1","APOBEC4",183646275,183653316
"1","AQP10",154321090,154325325
"1","ARF1",228082708,228099212
"1","ARHGAP29",94148988,94275068
"1","ARHGAP29-AS1",94247819,94411036
"1","ARHGAP30",161046946,161069970
"1","ARHGEF10L",17539698,17697874
"1","ARHGEF11",156934840,157045742
"1","ARHGEF16",3454665,3481113
"1","ARHGEF19",16197854,16212652
"1","ARHGEF19-AS1",16197854,16198357
"1","ARHGEF2",155946851,156007070
"1","ARHGEF2-AS1",155991390,156001787
"1","ARHGEF2-AS2",155978799,155982986
"1","ARID1A",26693236,26782104
"1","ARID3BP1",81501794,81503468
"1","ARID4B",235131634,235328219
"1","ARL5AP3",68049360,68049745
"1","ARL8A",202133404,202144743
"1","ARL8BP2",28120449,28121321
"1","ARMH1",44674692,44725591
"1","ARNT",150809713,150876708
"1","ARPC3P2",211442274,211442806
"1","ARPC5",183620846,183635783
"1","ARTN",43933320,43937240
"1","ARV1",230978981,231000733
"1","ASAP3",23428563,23484568
"1","ASB17",75918873,75932404
"1","ASCL5",201113943,201127184
"1","ASH1L",155335268,155563162
"1","ASH1L-AS1",155562026,155563944
"1","ASH1L-IT1",155396010,155396978
"1","ASPM",197084121,197146694
"1","ASTN1",176857302,177164973
"1","ATAD3A",1512162,1534685
"1","ATAD3B",1471765,1497848
"1","ATAD3C",1449689,1470163
"1","ATF3",212565334,212620777
"1","ATF6",161766298,161977574
"1","ATF6-DT",161749452,161766227
"1","ATG4C",62784132,62865516
"1","ATP13A2",16985958,17011928
"1","ATP1A1",116372668,116410261
"1","ATP1A1-AS1",116378437,116421301
"1","ATP1A2",160115759,160143591
"1","ATP1A4",160151586,160186980
"1","ATP1B1",169105697,169310992
"1","ATP2B4",203626832,203744081
"1","ATP5IF1",28236109,28246906
"1","ATP5MC2P1",209267798,209268223
"1","ATP5PB",111448864,111462773
"1","ATP6V0B",43974487,43978295
"1","ATP6V0CP4",42952202,42952641
"1","ATP6V0E1P4",47550196,47550753
"1","ATP6V1E1P1",42903232,42903912
"1","ATP6V1G3",198523222,198540945
"1","ATP8B2",154325525,154351304
"1","ATPAF1",46632737,46673867
"1","ATXN7L2",109483479,109492804
"1","AUNIP",25831913,25859458
"1","AURKAIP1",1373730,1375207
"1","AURKAP1",220266706,220267917
"1","AVPR1B",206106936,206117699
"1","AVPR1B-DT",206117783,206126805
"1","AXDND1",179365720,179554735
"1","AZIN2",33081104,33123492
"1","B3GALNT2",235447190,235504452
"1","B3GALT2",193178730,193186613
"1","B3GALT6",1232237,1235041
"1","B4GALT2",43978943,43991170
"1","B4GALT3",161171310,161177968
"1","BANF1P4",174756850,174757119
"1","BARHL2",90711539,90717302
"1","BATF3",212686417,212699840
"1","BCAN",156641390,156659532
"1","BCAN-AS1",156637783,156641004
"1","BCAN-AS2",156646507,156661424
"1","BCAR3",93561741,93847150
"1","BCAR3-AS1",93591966,93610605
"1","BCAS2",114567557,114581629
"1","BCAS2P2",100393033,100394026
"1","BCL10",85265776,85276632
"1","BCL10-AS1",85276388,85448124
"1","BCL2L15",113876816,113887581
"1","BCL9",147541501,147626216
"1","BECN2",241957767,241959062
"1","BEND5",48727519,48776969
"1","BEST4",44783585,44788170
"1","BGLAP",156242184,156243317
"1","BLACAT1",205434885,205457091
"1","BLZF1",169367970,169396540
"1","BMP8A",39491636,39529869
"1","BMP8B",39757182,39788865
"1","BMP8B-AS1",39779969,39781418
"1","BNIPL",151036321,151047720
"1","BOLA1",149887890,149900798
"1","BPNT1",220057482,220090462
"1","BPNT2P1",210462345,210463012
"1","BRDT",91949343,92014426
"1","BRI3P1",100213293,100213670
"1","BRINP2",177170958,177282422
"1","BRINP3",190097658,190478404
"1","BRINP3-DT",190478551,190480735
"1","BROX",222712553,222735196
"1","BRWD1P1",13555001,13555694
"1","BSDC1",32364633,32394731
"1","BSND",54998933,55017172
"1","BTBD19",44808523,44815585
"1","BTBD6P1",23901471,23902737
"1","BTBD8",92080305,92184725
"1","BTF3L4",52056199,52090716
"1","BTF3P9",227434064,227434346
"1","BTG2",203305491,203309602
"1","BTG2-DT",203298758,203305315
"1","BTNL10P",228510425,228512305
"1","C1QA",22635077,22639678
"1","C1QB",22652762,22661637
"1","C1QC",22643014,22648110
"1","C1QTNF12",1242446,1246722
"1","C1orf100",244352635,244389663
"1","C1orf105",172420685,172468831
"1","C1orf109",37681570,37692249
"1","C1orf112",169662007,169854080
"1","C1orf115",220690363,220699153
"1","C1orf116",207018522,207032756
"1","C1orf122",37806979,37809454
"1","C1orf127",10946471,10982076
"1","C1orf131",231223763,231241187
"1","C1orf141",67092165,67231853
"1","C1orf146",92217915,92245813
"1","C1orf159",1081818,1116361
"1","C1orf162",111473792,111478512
"1","C1orf167",11761787,11789585
"1","C1orf167-AS1",11777077,11779619
"1","C1orf174",3889125,3900293
"1","C1orf185",51102221,51148086
"1","C1orf198",230837119,230869589
"1","C1orf21",184387029,184629019
"1","C1orf21-DT",184385753,184386704
"1","C1orf210",43281877,43285617
"1","C1orf216",35713877,35718894
"1","C1orf220",178542752,178548889
"1","C1orf226",162378841,162386812
"1","C1orf232",26164101,26168963
"1","C1orf35",228100726,228105411
"1","C1orf43",154206696,154220637
"1","C1orf50",42767245,42779491
"1","C1orf50-AS1",42775813,42776790
"1","C1orf52",85249953,85259672
"1","C1orf53",197902630,197907367
"1","C1orf54",150268200,150280916
"1","C1orf56",151047751,151051986
"1","C1orf68",152719522,152720470
"1","C1orf74",209779208,209784559
"1","C1orf87",59987269,60073770
"1","C1orf94",34166883,34219131
"1","C2CD4D",151837818,151840557
"1","C2CD4D-AS1",151841877,151850385
"1","C4BPA",207104233,207144972
"1","C4BPAP1",207165496,207183910
"1","C4BPAP2",207225798,207229202
"1","C4BPB",207088860,207099993
"1","C8A",56854768,56918223
"1","C8B",56929207,56974383
"1","CA14",150257251,150265078
"1","CA6",8945867,8975092
"1","CACHD1",64470129,64693058
"1","CACNA1E",181317690,181813262
"1","CACNA1S",201039512,201112451
"1","CACYBP",174999163,175012027
"1","CADM3",159171609,159203313
"1","CADM3-AS1",159194325,159207973
"1","CALML6",1915108,1917296
"1","CALR4P",51561866,51594897
"1","CAMK1G",209583714,209613939
"1","CAMK2N1",20482391,20486210
"1","CAMSAP2",200738893,200860704
"1","CAMTA1",6785454,7769706
"1","CAMTA1-AS1",7441096,7441554
"1","CAMTA1-AS2",7382487,7389754
"1","CAMTA1-AS3",7008376,7014279
"1","CAMTA1-DT",6783892,6784843
"1","CAMTA1-IT1",7368942,7370270
"1","CAP1",40040233,40072649
"1","CAPN2",223701593,223776018
"1","CAPN8",223538007,223665723
"1","CAPN9",230747384,230802003
"1","CAPNS1P1",89394033,89394665
"1","CAPZA1",112619805,112671616
"1","CAPZB",19338775,19485539
"1","CASP3P1",70660657,70661265
"1","CASP9",15490832,15526534
"1","CASQ1",160190575,160201886
"1","CASQ2",115700021,115768884
"1","CASZ1",10636604,10796650
"1","CATSPER4",26190561,26202968
"1","CATSPERE",244454377,244641177
"1","CBX1P3",203954640,203955780
"1","CC2D1B",52345723,52366205
"1","CCDC163",45493866,45500079
"1","CCDC17",45620044,45624057
"1","CCDC18",93179919,93278730
"1","CCDC18-AS1",93262186,93346025
"1","CCDC181",169394870,169460669
"1","CCDC185",223393415,223395465
"1","CCDC190",162824458,162868761
"1","CCDC24",43991359,43996528
"1","CCDC27",3746460,3771645
"1","CCDC28B",32200595,32205453
"1","CCDC30",42463221,42657190
"1","CCDST",152205858,152207057
"1","CCN1",85580761,85584589
"1","CCNB1IP1P1",44958557,44959395
"1","CCNJP2",92755794,92756956
"1","CCNL2",1385711,1399335
"1","CCNQP1",200213678,200214322
"1","CCNT2P1",111007700,111015530
"1","CCSAP",229321011,229343294
"1","CCT3",156308968,156367873
"1","CCT8P1",147203276,147204932
"1","CD101",117001750,117036552
"1","CD101-AS1",117025482,117059490
"1","CD160",145719471,145739288
"1","CD164L2",27379176,27383333
"1","CD1A",158254424,158258269
"1","CD1B",158327951,158331531
"1","CD1C",158289923,158294774
"1","CD1D",158178030,158186427
"1","CD1E",158353696,158357553
"1","CD2",116754430,116769229
"1","CD244",160830160,160862887
"1","CD247",167425027,167518640
"1","CD24P1",15614643,15614867
"1","CD34",207880972,207911402
"1","CD46",207752037,207795513
"1","CD46P1",207645234,207657410
"1","CD48",160678746,160711831
"1","CD52",26317958,26320523
"1","CD53",110871188,110899922
"1","CD55",207321519,207386804
"1","CD58",116514534,116571039
"1","CD5L",157830911,157898256
"1","CD84",160541095,160579516
"1","CDA",20589086,20618903
"1","CDC14A",100345001,100520277
"1","CDC20",43358981,43363203
"1","CDC20-DT",43354684,43358676
"1","CDC42",22052627,22101360
"1","CDC42-AS1",22028317,22052927
"1","CDC42-IT1",22059197,22064199
"1","CDC42BPA",226989865,227318492
"1","CDC42SE1",151050971,151070325
"1","CDC7",91500851,91525764
"1","CDC73",193121983,193254815
"1","CDCA4P2",86552625,86553342
"1","CDCA4P3",207658454,207659142
"1","CDCA4P4",207762584,207763263
"1","CDCA8",37692481,37709719
"1","CDCP2",54132687,54153770
"1","CDK11A",1702379,1724357
"1","CDK11B",1635225,1659012
"1","CDK18",205504596,205532793
"1","CDK4P1",105433994,105434821
"1","CDKN2AIPNLP1",226493188,226493489
"1","CDKN2C",50960745,50974634
"1","CELA2A",15456728,15472091
"1","CELA2B",15465909,15491395
"1","CELA3A",22001657,22012542
"1","CELA3B",21977022,21998642
"1","CELF3",151700058,151716803
"1","CELSR2",109249539,109275751
"1","CENPF",214603185,214664574
"1","CENPL",173799550,173824883
"1","CENPS",10430433,10442808
"1","CENPS-CORT",10430102,10452153
"1","CEP104",3812086,3857396
"1","CEP170",243124428,243255348
"1","CEP350",179954674,180114880
"1","CEP85",26234200,26278808
"1","CEPT1",111139479,111185104
"1","CERS2",150960583,150975003
"1","CFAP107",12746200,12763699
"1","CFAP126",161364733,161367876
"1","CFAP141",154199085,154206333
"1","CFAP144",43145153,43156396
"1","CFAP276",109105951,109113857
"1","CFAP45",159872364,159900165
"1","CFAP57",43172330,43254358
"1","CFAP74",1921951,2003837
"1","CFAP97P1",35873270,35873752
"1","CFH",196651754,196752476
"1","CFHR1",196819731,196837159
"1","CFHR2",196943738,196959622
"1","CFHR3",196774813,196795407
"1","CFHR4",196888014,196918795
"1","CFHR5",196975010,197009678
"1","CFL1P2",51157788,51158471
"1","CFL1P3",63843196,63843685
"1","CFL1P4",241993185,241993682
"1","CFL1P6",10990978,10991797
"1","CGN",151510510,151538692
"1","CHCHD2P5",93921268,93921667
"1","CHCHD2P6",15604597,15605043
"1","CHCHD3P3",27200834,27201473
"1","CHCHD4P5",246178778,246179204
"1","CHD1L",147242654,147295765
"1","CHD5",6101787,6180321
"1","CHI3L1",203178931,203186704
"1","CHI3L2",111200771,111243440
"1","CHIA",111290851,111320566
"1","CHIAP1",111250254,111256715
"1","CHIAP2",111280059,111286116
"1","CHIAP3",111353275,111367409
"1","CHIT1",203212827,203273641
"1","CHML",241628851,241640369
"1","CHMP1AP1",27686810,27687471
"1","CHORDC1P5",70530526,70531492
"1","CHRM3",239386565,239915452
"1","CHRM3-AS1",239898016,239899872
"1","CHRM3-AS2",239703381,239770130
"1","CHRNB2",154567778,154580013
"1","CHTOP",153633982,153646306
"1","CIAO2AP2",228114997,228115473
"1","CIART",150282543,150287093
"1","CICP13",222468094,222470882
"1","CICP21",243049782,243051619
"1","CICP26",227975390,227978193
"1","CICP27",131025,134836
"1","CICP3",722092,724903
"1","CICP5",223947605,223950416
"1","CICP7",487101,489906
"1","CITED4",40861054,40862363
"1","CKS1B",154974653,154979251
"1","CLCA1",86468368,86500259
"1","CLCA2",86424171,86456553
"1","CLCA3P",86634273,86655376
"1","CLCA4",86547078,86580754
"1","CLCA4-AS1",86569024,86704484
"1","CLCC1",108881885,108963527
"1","CLCN6",11806096,11848079
"1","CLCNKA",16018875,16034050
"1","CLCNKB",16040252,16057311
"1","CLDN19",42733093,42740254
"1","CLEC20A",178479240,178499634
"1","CLIC4",24745382,24844321
"1","CLK2",155262868,155278491
"1","CLK3P2",247936061,247937513
"1","CLPTM1LP1",189035961,189036444
"1","CLSPN",35720218,35769978
"1","CLSTN1",9728926,9823984
"1","CMPK1",47333790,47394866
"1","CNIH3",224434660,224740554
"1","CNIH3-AS1",224717504,224730662
"1","CNIH3-AS2",224608130,224616220
"1","CNIH4",224356858,224379459
"1","CNKSR1",26177484,26189884
"1","CNN2P10",166796266,166797183
"1","CNN3",94896949,94927223
"1","CNN3-DT",94927361,94963616
"1","CNOT7P2",115564601,115565432
"1","CNR2",23870515,23913362
"1","CNST",246566444,246668595
"1","CNTN2",205042937,205078289
"1","COA6",234373456,234385080
"1","COA6-AS1",234372807,234373664
"1","COA7",52684449,52698347
"1","COG2",230642481,230693982
"1","COL11A1",102876467,103108872
"1","COL16A1",31652263,31704319
"1","COL24A1",85729233,86156943
"1","COL8A2",36095239,36125222
"1","COL9A2",40300489,40317813
"1","COLGALT2",183929854,184037729
"1","COP1",175944831,176207286
"1","COP1-DT",176207646,176447919
"1","COPA",160288594,160343566
"1","COQ8A",226940286,226987544
"1","CORT",10450031,10451998
"1","COX20",244835616,244845057
"1","COX5BP8",179255733,179256081
"1","COX6A1P1",80495903,80496233
"1","COX6B1P7",68282388,68282622
"1","COX6CP13",65298755,65298980
"1","COX7BP3",54089856,54090093
"1","COX7BP4",46104950,46105175
"1","COX7CP2",202767229,202767418
"1","CPLANE2",16231692,16237183
"1","CPT2",53196792,53214197
"1","CPTP",1324756,1328896
"1","CR1",207496147,207641765
"1","CR1L",207645113,207738416
"1","CR2",207453024,207489895
"1","CRABP2",156699606,156705816
"1","CRB1",197268204,197478455
"1","CRCT1",152514482,152516008
"1","CREB3L4",153967534,153974361
"1","CREG1",167529117,167553805
"1","CRIP1P3",202096759,202096978
"1","CRNN",152409243,152414263
"1","CROCC",16740273,16972964
"1","CROCCP2",16618253,16657232
"1","CROCCP3",16467436,16499257
"1","CROCCP4",16750233,16750964
"1","CROCCP5",21434318,21437558
"1","CRP",159712289,159714589
"1","CRPP1",159704983,159705607
"1","CRTC2",153947669,153958615
"1","CRYBG2",26321698,26360080
"1","CRYZ",74705482,74733408
"1","CRYZL2P",178006136,178037950
"1","CRYZL2P-SEC16B",177928788,178038007
"1","CSDE1",114716913,114758676
"1","CSF1",109910242,109930992
"1","CSF3R",36466043,36483278
"1","CSMD2",33513998,34165842
"1","CSMD2-AS1",33868953,33893726
"1","CSRP1",201483530,201509456
"1","CSRP1-AS1",201507241,201534784
"1","CTBP2P8",68161761,68163090
"1","CTBS",84549611,84574480
"1","CTH",70411218,70439851
"1","CTNNBIP1",9848276,9910336
"1","CTPS1",40979300,41012565
"1","CTRC",15438442,15449242
"1","CTSE",206008535,206023909
"1","CTSK",150794880,150809577
"1","CTSS",150730079,150765957
"1","CTTNBP2NL",112396214,112463456
"1","CTXND2",150887136,150913292
"1","CYB561D1",109494052,109502932
"1","CYB5R1",202961873,202967275
"1","CYB5RL",54169651,54200036
"1","CYCSP4",202369526,202370145
"1","CYCSP5",244598391,244598687
"1","CYCSP51",150903896,150904213
"1","CYCSP52",157128362,157128671
"1","CYCSP53",171444699,171444963
"1","CYMP",110480752,110491277
"1","CYMP-AS1",110487680,110490258
"1","CYP2J2",59893308,59926773
"1","CYP46A4P",48089368,48089634
"1","CYP4A11",46929177,46941484
"1","CYP4A22",47137435,47149727
"1","CYP4A22-AS1",47096653,47179271
"1","CYP4A26P",46967679,46967874
"1","CYP4A27P",47000898,47001087
"1","CYP4A43P",46994382,46994502
"1","CYP4A44P",47002995,47003148
"1","CYP4B1",46757838,46819413
"1","CYP4X1",47023669,47050751
"1","CYP4Z1",47067231,47118318
"1","CYP4Z2P",46843095,46900437
"1","CZIB",53214099,53220634
"1","CZIB-DT",53220663,53224253
"1","DAB1",56994778,58546734
"1","DAB1-AS1",57860532,57880905
"1","DAP3",155687960,155739010
"1","DAP3P1",155586644,155602197
"1","DARS2",173824653,173858808
"1","DBT",100186919,100249834
"1","DCAF6",167935783,168075843
"1","DCAF8",160215715,160262549
"1","DCAF8-DT",160261731,160263328
"1","DCDC2B",32209089,32216192
"1","DCLRE1B",113904619,113914086
"1","DCST1",155033824,155050930
"1","DCST1-AS1",155045191,155046118
"1","DCST2",155018520,155033781
"1","DDAH1",85318481,85578363
"1","DDI2",15617458,15669044
"1","DDOST",20651767,20661544
"1","DDR2",162631373,162787405
"1","DDX11L1",12010,13670
"1","DDX11L17",182696,184174
"1","DDX11L2",11869,14409
"1","DDX20",111754832,111775602
"1","DDX59",200623896,200669907
"1","DDX59-AS1",200669507,200694250
"1","DEDD",161120974,161132688
"1","DEGS1",224175756,224193441
"1","DENND1B",197504748,197775696
"1","DENND2C",114582848,114670422
"1","DENND2D",111185969,111204535
"1","DENND4B",153929501,153946718
"1","DEPDC1",68474152,68497221
"1","DEPDC1-AS1",68496676,68538627
"1","DESI2",244653103,244709033
"1","DFFA",10456522,10472529
"1","DFFB",3857267,3885429
"1","DHCR24",54849627,54887195
"1","DHCR24-DT",54887563,54888850
"1","DHDDS",26432282,26471306
"1","DHDDS-AS1",26462756,26468014
"1","DHRS3",12567910,12618210
"1","DHX9",182839347,182887982
"1","DHX9-AS1",182837185,182839561
"1","DIO1",53891239,53911086
"1","DIPK1A",92832737,92961522
"1","DIRAS3",68045886,68051717
"1","DISC1",231626790,232041272
"1","DISC1-IT1",231925834,231945233
"1","DISP1",222815022,223005995
"1","DISP3",11479155,11537551
"1","DLEU2L",63547082,63550636
"1","DLGAP3",34865436,34929650
"1","DLSTP1",75743423,75744776
"1","DMAP1",44213455,44220681
"1","DMBX1",46489836,46516216
"1","DMRTA2",50417550,50423443
"1","DMRTB1",53459399,53467488
"1","DNAH14",224896262,225399292
"1","DNAI3",84999147,85133138
"1","DNAI4",66812885,66924856
"1","DNAJA1P5",101893105,101894047
"1","DNAJB4",77979175,78017964
"1","DNAJB6P4",67278052,67278779
"1","DNAJB6P6",224661173,224661886
"1","DNAJC11",6634168,6701924
"1","DNAJC16",15526813,15592379
"1","DNAJC19P7",52252062,52252773
"1","DNAJC19P8",245282831,245283089
"1","DNAJC6",65248219,65415871
"1","DNAJC8",28199456,28233029
"1","DNAJC8P4",28453541,28453934
"1","DNALI1",37556919,37566857
"1","DNASE2B",84398484,84415018
"1","DNM3",171817887,172418466
"1","DNM3-IT1",171864187,171864687
"1","DNM3OS",172138397,172144840
"1","DNTTIP2",93866284,93879918
"1","DOCK7",62454298,62688386
"1","DOCK7-DT",62688482,62710694
"1","DPH2",43970000,43973369
"1","DPH5",100989623,101026088
"1","DPH5-DT",101025844,101090513
"1","DPM3",155139891,155140595
"1","DPPA2P2",26519354,26520250
"1","DPT",168695468,168729206
"1","DPY19L4P1",248771635,248773792
"1","DPYD",97077743,97995000
"1","DPYD-AS1",97095923,97322955
"1","DPYD-AS2",97796921,97798066
"1","DPYD-IT1",97394154,97420141
"1","DR1",93345907,93369493
"1","DRAM2",111117163,111140203
"1","DRAXIN",11691710,11725857
"1","DRD5P2",144274892,144277993
"1","DSTYK",205142505,205211702
"1","DTL",212035553,212107400
"1","DUSP10",221701424,221742089
"1","DUSP12",161749758,161757238
"1","DUSP23",159780932,159782543
"1","DUSP5P1",228650241,228651379
"1","DUTP6",166868748,166869209
"1","DVL1",1335276,1349418
"1","DYNLL1P3",18513118,18513383
"1","DYNLT4",44805893,44807351
"1","DYNLT5",66752459,66779047
"1","DYRK3",206635536,206684419
"1","DYRK3-AS1",206634184,206635714
"1","E2F2",23506438,23531233
"1","EBNA1BP2",43164175,43270936
"1","ECE1",21217247,21345572
"1","ECE1-AS1",21293290,21299874
"1","ECHDC2",52895910,52927212
"1","ECM1",150508062,150513789
"1","EDARADD",236348257,236502915
"1","EDEM3",184690237,184754907
"1","EDN2",41478775,41484683
"1","EEF1A1P11",96446930,96448318
"1","EEF1A1P14",194188967,194190342
"1","EEF1A1P32",197688760,197690627
"1","EEF1A1P44",199387141,199388475
"1","EEF1A1P46",31487589,31488930
"1","EEF1A1P48",23670294,23680259
"1","EEF1DP6",4175528,4175899
"1","EEF1GP7",52573114,52573816
"1","EEIG2",108560089,108644900
"1","EFCAB14",46674659,46719146
"1","EFCAB14-AS1",46674036,46692098
"1","EFCAB14P1",35122022,35122484
"1","EFCAB2",244969682,245127164
"1","EFCAB7",63523372,63572693
"1","EFHD2",15409888,15430339
"1","EFHD2-AS1",15402979,15409433
"1","EFNA1",155127876,155134899
"1","EFNA3",155078837,155087538
"1","EFNA4",155063737,155069553
"1","EFNA4-EFNA3",155063748,155086807
"1","EGLN1",231363751,231422287
"1","EI24P2",158454198,158455273
"1","EIF1AXP1",16685621,16686055
"1","EIF1P2",38958275,38958925
"1","EIF1P3",182336001,182336334
"1","EIF2B3",44850522,44986722
"1","EIF2D",206571292,206612465
"1","EIF2S2P5",114468315,114469282
"1","EIF3I",32221077,32245397
"1","EIF4A1P11",179201705,179201926
"1","EIF4G3",20806292,21177285
"1","ELAPOR1",109113679,109206781
"1","ELAVL4",50024029,50203772
"1","ELAVL4-AS1",50174306,50175868
"1","ELF3",202007945,202017183
"1","ELF3-AS1",201995696,202010463
"1","ELK4",205597556,205632011
"1","ELL2P1",158175850,158177755
"1","ELOA",23743448,23762059
"1","ELOA-AS1",23706901,23778325
"1","ELOCP18",68375327,68375663
"1","ELOCP19",88829102,88829419
"1","ELOCP20",115556826,115557475
"1","ELOVL1",43363398,43368074
"1","EMBP1",121519103,121575702
"1","EMC1",19215660,19251552
"1","EMC1-AS1",19210348,19240709
"1","ENAH",225486765,225653142
"1","ENO1",8861000,8879190
"1","ENO1-AS1",8878835,8879894
"1","ENO1P1",236483165,236484468
"1","ENSA",150600851,150629612
"1","ENTR1P2",175044626,175045648
"1","ENTREP3",155247205,155255483
"1","EPB41",28887091,29120046
"1","EPHA10",37713880,37765133
"1","EPHA2",16124337,16156069
"1","EPHA2-AS1",16155176,16158148
"1","EPHA8",22563489,22603595
"1","EPHB2",22710839,22921500
"1","EPHX1",225810124,225845563
"1","EPHX4",92029985,92063538
"1","EPRS1",219968600,220046530
"1","EPS15",51354263,51519328
"1","EPS15-AS1",51518288,51561651
"1","EPS8L3",109750080,109764027
"1","ERI3",44221070,44355260
"1","ERI3-IT1",44243408,44244273
"1","ERICH3",74568117,74673792
"1","ERICH3-AS1",74577430,74626098
"1","ERLNC1",204141404,204143327
"1","ERMAP",42817122,42844991
"1","ERO1B",236214681,236282019
"1","ERRFI1",8004404,8026309
"1","ERRFI1-DT",8026738,8122702
"1","ESPN",6424776,6461367
"1","ESPNP",16692280,16720157
"1","ESRRG",216503246,217137755
"1","ETNK2",204131062,204152044
"1","ETV3",157121191,157138474
"1","ETV3L",157092043,157112412
"1","EVA1B",36322030,36324154
"1","EVI5",92508696,92792404
"1","EXO1",241847967,241895148
"1","EXO5",40508741,40516038
"1","EXO5-DT",40493157,40508661
"1","EXOC8",231332753,231337852
"1","EXOSC10",11066618,11099869
"1","EXOSC10-AS1",11099430,11102105
"1","EXTL1",26019884,26036464
"1","EXTL2",100872372,100895179
"1","EYA3",27970344,28088637
"1","F11R",160995211,161021343
"1","F13B",197038741,197067260
"1","F3",94529173,94541759
"1","F5",169511951,169586588
"1","FAAH",46394317,46413848
"1","FAAHP1",46432129,46445321
"1","FAAP20",2184461,2212720
"1","FABP3",31365253,31376850
"1","FABP7P1",243624666,243625056
"1","FAF1",50437028,50960267
